trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint,checkpoint_id,continuous_pickup,continuous_drop_off
59,13:44:00,13:44:00,23,1,,0,0,0,,,
59,13:46:00,13:46:00,27,2,,0,0,0,,,
60,13:52:00,13:52:00,23,1,,0,0,0,,,
60,13:54:00,13:54:00,27,2,,0,0,0,,,
61,14:00:00,14:00:00,23,1,,0,0,0,,,
61,14:02:00,14:02:00,27,2,,0,0,0,,,
62,14:08:00,14:08:00,23,1,,0,0,0,,,
62,14:10:00,14:10:00,27,2,,0,0,0,,,
63,14:16:00,14:16:00,23,1,,0,0,0,,,
63,14:18:00,14:18:00,27,2,,0,0,0,,,
64,14:24:00,14:24:00,23,1,,0,0,0,,,
64,14:26:00,14:26:00,27,2,,0,0,0,,,
65,14:32:00,14:32:00,23,1,,0,0,0,,,
65,14:34:00,14:34:00,27,2,,0,0,0,,,
66,14:40:00,14:40:00,23,1,,0,0,0,,,
66,14:42:00,14:42:00,27,2,,0,0,0,,,
67,14:48:00,14:48:00,23,1,,0,0,0,,,
67,14:50:00,14:50:00,27,2,,0,0,0,,,
68,14:56:00,14:56:00,23,1,,0,0,0,,,
68,14:58:00,14:58:00,27,2,,0,0,0,,,
69,15:04:00,15:04:00,23,1,,0,0,0,,,
69,15:06:00,15:06:00,27,2,,0,0,0,,,
70,15:12:00,15:12:00,23,1,,0,0,0,,,
70,15:14:00,15:14:00,27,2,,0,0,0,,,
71,15:20:00,15:20:00,23,1,,0,0,0,,,
71,15:22:00,15:22:00,27,2,,0,0,0,,,
72,15:28:00,15:28:00,23,1,,0,0,0,,,
72,15:30:00,15:30:00,27,2,,0,0,0,,,
73,15:36:00,15:36:00,23,1,,0,0,0,,,
73,15:38:00,15:38:00,27,2,,0,0,0,,,
74,15:44:00,15:44:00,23,1,,0,0,0,,,
74,15:46:00,15:46:00,27,2,,0,0,0,,,
75,15:52:00,15:52:00,23,1,,0,0,0,,,
75,15:54:00,15:54:00,27,2,,0,0,0,,,
76,16:00:00,16:00:00,23,1,,0,0,0,,,
76,16:02:00,16:02:00,27,2,,0,0,0,,,
77,16:08:00,16:08:00,23,1,,0,0,0,,,
77,16:10:00,16:10:00,27,2,,0,0,0,,,
78,16:16:00,16:16:00,23,1,,0,0,0,,,
78,16:18:00,16:18:00,27,2,,0,0,0,,,
79,16:24:00,16:24:00,23,1,,0,0,0,,,
79,16:26:00,16:26:00,27,2,,0,0,0,,,
80,16:32:00,16:32:00,23,1,,0,0,0,,,
80,16:34:00,16:34:00,27,2,,0,0,0,,,
81,16:40:00,16:40:00,23,1,,0,0,0,,,
81,16:42:00,16:42:00,27,2,,0,0,0,,,
82,16:48:00,16:48:00,23,1,,0,0,0,,,
82,16:50:00,16:50:00,27,2,,0,0,0,,,
83,16:56:00,16:56:00,23,1,,0,0,0,,,
83,16:58:00,16:58:00,27,2,,0,0,0,,,
84,17:04:00,17:04:00,23,1,,0,0,0,,,
84,17:06:00,17:06:00,27,2,,0,0,0,,,
85,17:12:00,17:12:00,23,1,,0,0,0,,,
85,17:14:00,17:14:00,27,2,,0,0,0,,,
86,17:20:00,17:20:00,23,1,,0,0,0,,,
86,17:22:00,17:22:00,27,2,,0,0,0,,,
87,17:28:00,17:28:00,23,1,,0,0,0,,,
87,17:30:00,17:30:00,27,2,,0,0,0,,,
88,17:36:00,17:36:00,23,1,,0,0,0,,,
88,17:38:00,17:38:00,27,2,,0,0,0,,,
89,17:44:00,17:44:00,23,1,,0,0,0,,,
89,17:46:00,17:46:00,27,2,,0,0,0,,,
90,17:52:00,17:52:00,23,1,,0,0,0,,,
90,17:54:00,17:54:00,27,2,,0,0,0,,,
91,18:00:00,18:00:00,23,1,,0,0,0,,,
91,18:02:00,18:02:00,27,2,,0,0,0,,,
92,18:08:00,18:08:00,23,1,,0,0,0,,,
92,18:10:00,18:10:00,27,2,,0,0,0,,,
93,18:16:00,18:16:00,23,1,,0,0,0,,,
93,18:18:00,18:18:00,27,2,,0,0,0,,,
94,18:24:00,18:24:00,23,1,,0,0,0,,,
94,18:26:00,18:26:00,27,2,,0,0,0,,,
95,18:32:00,18:32:00,23,1,,0,0,0,,,
95,18:34:00,18:34:00,27,2,,0,0,0,,,
96,18:40:00,18:40:00,23,1,,0,0,0,,,
96,18:42:00,18:42:00,27,2,,0,0,0,,,
97,18:48:00,18:48:00,23,1,,0,0,0,,,
97,18:50:00,18:50:00,27,2,,0,0,0,,,
98,18:56:00,18:56:00,23,1,,0,0,0,,,
98,18:58:00,18:58:00,27,2,,0,0,0,,,
99,19:04:00,19:04:00,23,1,,0,0,0,,,
99,19:06:00,19:06:00,27,2,,0,0,0,,,
100,19:12:00,19:12:00,23,1,,0,0,0,,,
100,19:14:00,19:14:00,27,2,,0,0,0,,,
101,19:20:00,19:20:00,23,1,,0,0,0,,,
101,19:22:00,19:22:00,27,2,,0,0,0,,,
102,19:28:00,19:28:00,23,1,,0,0,0,,,
102,19:30:00,19:30:00,27,2,,0,0,0,,,
103,19:36:00,19:36:00,23,1,,0,0,0,,,
103,19:38:00,19:38:00,27,2,,0,0,0,,,
104,19:44:00,19:44:00,23,1,,0,0,0,,,
104,19:46:00,19:46:00,27,2,,0,0,0,,,
105,19:52:00,19:52:00,23,1,,0,0,0,,,
105,19:54:00,19:54:00,27,2,,0,0,0,,,
106,20:00:00,20:00:00,23,1,,0,0,0,,,
106,20:02:00,20:02:00,27,2,,0,0,0,,,
107,20:08:00,20:08:00,23,1,,0,0,0,,,
107,20:10:00,20:10:00,27,2,,0,0,0,,,
108,20:16:00,20:16:00,23,1,,0,0,0,,,
108,20:18:00,20:18:00,27,2,,0,0,0,,,
109,20:24:00,20:24:00,23,1,,0,0,0,,,
109,20:26:00,20:26:00,27,2,,0,0,0,,,
110,20:32:00,20:32:00,23,1,,0,0,0,,,
110,20:34:00,20:34:00,27,2,,0,0,0,,,
111,20:40:00,20:40:00,23,1,,0,0,0,,,
111,20:42:00,20:42:00,27,2,,0,0,0,,,
112,20:48:00,20:48:00,23,1,,0,0,0,,,
112,20:50:00,20:50:00,27,2,,0,0,0,,,
113,20:56:00,20:56:00,23,1,,0,0,0,,,
113,20:58:00,20:58:00,27,2,,0,0,0,,,
114,21:04:00,21:04:00,23,1,,0,0,0,,,
114,21:06:00,21:06:00,27,2,,0,0,0,,,
115,21:12:00,21:12:00,23,1,,0,0,0,,,
115,21:14:00,21:14:00,27,2,,0,0,0,,,
116,21:20:00,21:20:00,23,1,,0,0,0,,,
116,21:22:00,21:22:00,27,2,,0,0,0,,,
117,21:28:00,21:28:00,23,1,,0,0,0,,,
117,21:30:00,21:30:00,27,2,,0,0,0,,,
118,21:36:00,21:36:00,23,1,,0,0,0,,,
118,21:38:00,21:38:00,27,2,,0,0,0,,,
119,21:44:00,21:44:00,23,1,,0,0,0,,,
119,21:46:00,21:46:00,27,2,,0,0,0,,,
120,21:52:00,21:52:00,23,1,,0,0,0,,,
120,21:54:00,21:54:00,27,2,,0,0,0,,,
121,22:00:00,22:00:00,23,1,,0,0,0,,,
121,22:02:00,22:02:00,27,2,,0,0,0,,,
122,22:08:00,22:08:00,23,1,,0,0,0,,,
122,22:10:00,22:10:00,27,2,,0,0,0,,,
123,22:16:00,22:16:00,23,1,,0,0,0,,,
123,22:18:00,22:18:00,27,2,,0,0,0,,,
124,22:24:00,22:24:00,23,1,,0,0,0,,,
124,22:26:00,22:26:00,27,2,,0,0,0,,,
125,22:32:00,22:32:00,23,1,,0,0,0,,,
125,22:34:00,22:34:00,27,2,,0,0,0,,,
126,22:40:00,22:40:00,23,1,,0,0,0,,,
126,22:42:00,22:42:00,27,2,,0,0,0,,,
127,22:48:00,22:48:00,23,1,,0,0,0,,,
127,22:50:00,22:50:00,27,2,,0,0,0,,,
128,22:56:00,22:56:00,23,1,,0,0,0,,,
128,22:58:00,22:58:00,27,2,,0,0,0,,,
129,23:04:00,23:04:00,23,1,,0,0,0,,,
129,23:06:00,23:06:00,27,2,,0,0,0,,,
130,23:12:00,23:12:00,23,1,,0,0,0,,,
130,23:14:00,23:14:00,27,2,,0,0,0,,,
131,23:20:00,23:20:00,23,1,,0,0,0,,,
131,23:22:00,23:22:00,27,2,,0,0,0,,,
132,23:28:00,23:28:00,23,1,,0,0,0,,,
132,23:30:00,23:30:00,27,2,,0,0,0,,,
1000,6:00:00,6:00:00,22,1,,0,0,0,,,
1000,6:03:00,6:03:00,26,2,,0,0,0,,,
1001,6:15:00,6:15:00,22,1,,0,0,0,,,
1001,6:18:00,6:18:00,26,2,,0,0,0,,,
1002,6:30:00,6:30:00,22,1,,0,0,0,,,
1002,6:33:00,6:33:00,26,2,,0,0,0,,,
1003,6:45:00,6:45:00,22,1,,0,0,0,,,
1003,6:48:00,6:48:00,26,2,,0,0,0,,,
1004,7:00:00,7:00:00,22,1,,0,0,0,,,
1004,7:03:00,7:03:00,26,2,,0,0,0,,,
1005,7:15:00,7:15:00,22,1,,0,0,0,,,
1005,7:18:00,7:18:00,26,2,,0,0,0,,,
1006,7:30:00,7:30:00,22,1,,0,0,0,,,
1006,7:33:00,7:33:00,26,2,,0,0,0,,,
1007,7:45:00,7:45:00,22,1,,0,0,0,,,
1007,7:48:00,7:48:00,26,2,,0,0,0,,,
1008,8:00:00,8:00:00,22,1,,0,0,0,,,
1008,8:03:00,8:03:00,26,2,,0,0,0,,,
1009,8:15:00,8:15:00,22,1,,0,0,0,,,
1009,8:18:00,8:18:00,26,2,,0,0,0,,,
1010,8:30:00,8:30:00,22,1,,0,0,0,,,
1010,8:33:00,8:33:00,26,2,,0,0,0,,,
1011,8:45:00,8:45:00,22,1,,0,0,0,,,
1011,8:48:00,8:48:00,26,2,,0,0,0,,,
1012,9:00:00,9:00:00,22,1,,0,0,0,,,
1012,9:03:00,9:03:00,26,2,,0,0,0,,,
1013,9:15:00,9:15:00,22,1,,0,0,0,,,
1013,9:18:00,9:18:00,26,2,,0,0,0,,,
1014,9:30:00,9:30:00,22,1,,0,0,0,,,
1014,9:33:00,9:33:00,26,2,,0,0,0,,,
1015,9:45:00,9:45:00,22,1,,0,0,0,,,
1015,9:48:00,9:48:00,26,2,,0,0,0,,,
1016,10:00:00,10:00:00,22,1,,0,0,0,,,
1016,10:03:00,10:03:00,26,2,,0,0,0,,,
1017,10:15:00,10:15:00,22,1,,0,0,0,,,
1017,10:18:00,10:18:00,26,2,,0,0,0,,,
1018,10:30:00,10:30:00,22,1,,0,0,0,,,
1018,10:33:00,10:33:00,26,2,,0,0,0,,,
1019,10:45:00,10:45:00,22,1,,0,0,0,,,
1019,10:48:00,10:48:00,26,2,,0,0,0,,,
1020,11:00:00,11:00:00,22,1,,0,0,0,,,
1020,11:03:00,11:03:00,26,2,,0,0,0,,,
1021,11:15:00,11:15:00,22,1,,0,0,0,,,
1021,11:18:00,11:18:00,26,2,,0,0,0,,,
1022,11:30:00,11:30:00,22,1,,0,0,0,,,
1022,11:33:00,11:33:00,26,2,,0,0,0,,,
1023,11:45:00,11:45:00,22,1,,0,0,0,,,
1023,11:48:00,11:48:00,26,2,,0,0,0,,,
1024,12:00:00,12:00:00,22,1,,0,0,0,,,
1024,12:03:00,12:03:00,26,2,,0,0,0,,,
1025,12:15:00,12:15:00,22,1,,0,0,0,,,
1025,12:18:00,12:18:00,26,2,,0,0,0,,,
1026,12:30:00,12:30:00,22,1,,0,0,0,,,
1026,12:33:00,12:33:00,26,2,,0,0,0,,,
1027,12:45:00,12:45:00,22,1,,0,0,0,,,
1027,12:48:00,12:48:00,26,2,,0,0,0,,,
1028,13:00:00,13:00:00,22,1,,0,0,0,,,
1028,13:03:00,13:03:00,26,2,,0,0,0,,,
1029,13:15:00,13:15:00,22,1,,0,0,0,,,
1029,13:18:00,13:18:00,26,2,,0,0,0,,,
1030,13:30:00,13:30:00,22,1,,0,0,0,,,
1030,13:33:00,13:33:00,26,2,,0,0,0,,,
1031,13:45:00,13:45:00,22,1,,0,0,0,,,
1031,13:48:00,13:48:00,26,2,,0,0,0,,,
1032,14:00:00,14:00:00,22,1,,0,0,0,,,
1032,14:03:00,14:03:00,26,2,,0,0,0,,,
1033,14:15:00,14:15:00,22,1,,0,0,0,,,
1033,14:18:00,14:18:00,26,2,,0,0,0,,,
1034,14:30:00,14:30:00,22,1,,0,0,0,,,
1034,14:33:00,14:33:00,26,2,,0,0,0,,,
1035,14:45:00,14:45:00,22,1,,0,0,0,,,
1035,14:48:00,14:48:00,26,2,,0,0,0,,,
1036,15:00:00,15:00:00,22,1,,0,0,0,,,
1036,15:03:00,15:03:00,26,2,,0,0,0,,,
1037,15:15:00,15:15:00,22,1,,0,0,0,,,
1037,15:18:00,15:18:00,26,2,,0,0,0,,,
1038,15:30:00,15:30:00,22,1,,0,0,0,,,
1038,15:33:00,15:33:00,26,2,,0,0,0,,,
1039,15:45:00,15:45:00,22,1,,0,0,0,,,
1039,15:48:00,15:48:00,26,2,,0,0,0,,,
1040,16:00:00,16:00:00,22,1,,0,0,0,,,
1040,16:03:00,16:03:00,26,2,,0,0,0,,,
1041,16:15:00,16:15:00,22,1,,0,0,0,,,
1041,16:18:00,16:18:00,26,2,,0,0,0,,,
1042,16:30:00,16:30:00,22,1,,0,0,0,,,
1042,16:33:00,16:33:00,26,2,,0,0,0,,,
1043,16:45:00,16:45:00,22,1,,0,0,0,,,
1043,16:48:00,16:48:00,26,2,,0,0,0,,,
1044,17:00:00,17:00:00,22,1,,0,0,0,,,
1044,17:03:00,17:03:00,26,2,,0,0,0,,,
1045,17:15:00,17:15:00,22,1,,0,0,0,,,
1045,17:18:00,17:18:00,26,2,,0,0,0,,,
1046,17:30:00,17:30:00,22,1,,0,0,0,,,
1046,17:33:00,17:33:00,26,2,,0,0,0,,,
1047,17:45:00,17:45:00,22,1,,0,0,0,,,
1047,17:48:00,17:48:00,26,2,,0,0,0,,,
1048,18:00:00,18:00:00,22,1,,0,0,0,,,
1048,18:03:00,18:03:00,26,2,,0,0,0,,,
1049,18:15:00,18:15:00,22,1,,0,0,0,,,
1049,18:18:00,18:18:00,26,2,,0,0,0,,,
1050,18:30:00,18:30:00,22,1,,0,0,0,,,
1050,18:33:00,18:33:00,26,2,,0,0,0,,,
1051,18:45:00,18:45:00,22,1,,0,0,0,,,
1051,18:48:00,18:48:00,26,2,,0,0,0,,,
1052,19:00:00,19:00:00,22,1,,0,0,0,,,
1052,19:03:00,19:03:00,26,2,,0,0,0,,,
1053,19:15:00,19:15:00,22,1,,0,0,0,,,
1053,19:18:00,19:18:00,26,2,,0,0,0,,,
1054,19:30:00,19:30:00,22,1,,0,0,0,,,
1054,19:33:00,19:33:00,26,2,,0,0,0,,,
1055,19:45:00,19:45:00,22,1,,0,0,0,,,
1055,19:48:00,19:48:00,26,2,,0,0,0,,,
1056,20:00:00,20:00:00,22,1,,0,0,0,,,
1056,20:03:00,20:03:00,26,2,,0,0,0,,,
1057,20:15:00,20:15:00,22,1,,0,0,0,,,
1057,20:18:00,20:18:00,26,2,,0,0,0,,,
1058,20:30:00,20:30:00,22,1,,0,0,0,,,
1058,20:33:00,20:33:00,26,2,,0,0,0,,,
1059,20:45:00,20:45:00,22,1,,0,0,0,,,
1059,20:48:00,20:48:00,26,2,,0,0,0,,,
1060,21:00:00,21:00:00,22,1,,0,0,0,,,
1060,21:03:00,21:03:00,26,2,,0,0,0,,,
1061,21:15:00,21:15:00,22,1,,0,0,0,,,
1061,21:18:00,21:18:00,26,2,,0,0,0,,,
1062,21:30:00,21:30:00,22,1,,0,0,0,,,
1062,21:33:00,21:33:00,26,2,,0,0,0,,,
1063,21:45:00,21:45:00,22,1,,0,0,0,,,
1063,21:48:00,21:48:00,26,2,,0,0,0,,,
1064,22:00:00,22:00:00,22,1,,0,0,0,,,
1064,22:03:00,22:03:00,26,2,,0,0,0,,,
1065,22:15:00,22:15:00,22,1,,0,0,0,,,
1065,22:18:00,22:18:00,26,2,,0,0,0,,,
1066,22:30:00,22:30:00,22,1,,0,0,0,,,
1066,22:33:00,22:33:00,26,2,,0,0,0,,,
1067,22:45:00,22:45:00,22,1,,0,0,0,,,
1067,22:48:00,22:48:00,26,2,,0,0,0,,,
1068,23:00:00,23:00:00,22,1,,0,0,0,,,
1068,23:03:00,23:03:00,26,2,,0,0,0,,,
1069,23:15:00,23:15:00,22,1,,0,0,0,,,
1069,23:18:00,23:18:00,26,2,,0,0,0,,,
1070,23:30:00,23:30:00,22,1,,0,0,0,,,
1070,23:33:00,23:33:00,26,2,,0,0,0,,,
2000,6:00:00,6:00:00,24,1,,0,0,0,,,
2000,6:02:00,6:02:00,25,2,,0,0,0,,,
2001,6:15:00,6:15:00,24,1,,0,0,0,,,
2001,6:17:00,6:17:00,25,2,,0,0,0,,,
2002,6:30:00,6:30:00,24,1,,0,0,0,,,
2002,6:32:00,6:32:00,25,2,,0,0,0,,,
2003,6:45:00,6:45:00,24,1,,0,0,0,,,
2003,6:47:00,6:47:00,25,2,,0,0,0,,,
2004,7:00:00,7:00:00,24,1,,0,0,0,,,
2004,7:02:00,7:02:00,25,2,,0,0,0,,,
2005,7:15:00,7:15:00,24,1,,0,0,0,,,
2005,7:17:00,7:17:00,25,2,,0,0,0,,,
2006,7:30:00,7:30:00,24,1,,0,0,0,,,
2006,7:32:00,7:32:00,25,2,,0,0,0,,,
2007,7:45:00,7:45:00,24,1,,0,0,0,,,
2007,7:47:00,7:47:00,25,2,,0,0,0,,,
2008,8:00:00,8:00:00,24,1,,0,0,0,,,
2008,8:02:00,8:02:00,25,2,,0,0,0,,,
2009,8:15:00,8:15:00,24,1,,0,0,0,,,
2009,8:17:00,8:17:00,25,2,,0,0,0,,,
2010,8:30:00,8:30:00,24,1,,0,0,0,,,
2010,8:32:00,8:32:00,25,2,,0,0,0,,,
2011,8:45:00,8:45:00,24,1,,0,0,0,,,
2011,8:47:00,8:47:00,25,2,,0,0,0,,,
2012,9:00:00,9:00:00,24,1,,0,0,0,,,
2012,9:02:00,9:02:00,25,2,,0,0,0,,,
2013,9:15:00,9:15:00,24,1,,0,0,0,,,
2013,9:17:00,9:17:00,25,2,,0,0,0,,,
2014,9:30:00,9:30:00,24,1,,0,0,0,,,
2014,9:32:00,9:32:00,25,2,,0,0,0,,,
2015,9:45:00,9:45:00,24,1,,0,0,0,,,
2015,9:47:00,9:47:00,25,2,,0,0,0,,,
2016,10:00:00,10:00:00,24,1,,0,0,0,,,
2016,10:02:00,10:02:00,25,2,,0,0,0,,,
2017,10:15:00,10:15:00,24,1,,0,0,0,,,
2017,10:17:00,10:17:00,25,2,,0,0,0,,,
2018,10:30:00,10:30:00,24,1,,0,0,0,,,
2018,10:32:00,10:32:00,25,2,,0,0,0,,,
2019,10:45:00,10:45:00,24,1,,0,0,0,,,
2019,10:47:00,10:47:00,25,2,,0,0,0,,,
2020,11:00:00,11:00:00,24,1,,0,0,0,,,
2020,11:02:00,11:02:00,25,2,,0,0,0,,,
2021,11:15:00,11:15:00,24,1,,0,0,0,,,
2021,11:17:00,11:17:00,25,2,,0,0,0,,,
2022,11:30:00,11:30:00,24,1,,0,0,0,,,
2022,11:32:00,11:32:00,25,2,,0,0,0,,,
2023,11:45:00,11:45:00,24,1,,0,0,0,,,
2023,11:47:00,11:47:00,25,2,,0,0,0,,,
2024,12:00:00,12:00:00,24,1,,0,0,0,,,
2024,12:02:00,12:02:00,25,2,,0,0,0,,,
2025,12:15:00,12:15:00,24,1,,0,0,0,,,
2025,12:17:00,12:17:00,25,2,,0,0,0,,,
2026,12:30:00,12:30:00,24,1,,0,0,0,,,
2026,12:32:00,12:32:00,25,2,,0,0,0,,,
2027,12:45:00,12:45:00,24,1,,0,0,0,,,
2027,12:47:00,12:47:00,25,2,,0,0,0,,,
2028,13:00:00,13:00:00,24,1,,0,0,0,,,
2028,13:02:00,13:02:00,25,2,,0,0,0,,,
2029,13:15:00,13:15:00,24,1,,0,0,0,,,
2029,13:17:00,13:17:00,25,2,,0,0,0,,,
2030,13:30:00,13:30:00,24,1,,0,0,0,,,
2030,13:32:00,13:32:00,25,2,,0,0,0,,,
2031,13:45:00,13:45:00,24,1,,0,0,0,,,
2031,13:47:00,13:47:00,25,2,,0,0,0,,,
2032,14:00:00,14:00:00,24,1,,0,0,0,,,
2032,14:02:00,14:02:00,25,2,,0,0,0,,,
2033,14:15:00,14:15:00,24,1,,0,0,0,,,
2033,14:17:00,14:17:00,25,2,,0,0,0,,,
2034,14:30:00,14:30:00,24,1,,0,0,0,,,
2034,14:32:00,14:32:00,25,2,,0,0,0,,,
2035,14:45:00,14:45:00,24,1,,0,0,0,,,
2035,14:47:00,14:47:00,25,2,,0,0,0,,,
2036,15:00:00,15:00:00,24,1,,0,0,0,,,
2036,15:02:00,15:02:00,25,2,,0,0,0,,,
2037,15:15:00,15:15:00,24,1,,0,0,0,,,
2037,15:17:00,15:17:00,25,2,,0,0,0,,,
2038,15:30:00,15:30:00,24,1,,0,0,0,,,
2038,15:32:00,15:32:00,25,2,,0,0,0,,,
2039,15:45:00,15:45:00,24,1,,0,0,0,,,
2039,15:47:00,15:47:00,25,2,,0,0,0,,,
